"band","species","beak_length","beak_depth","beak_width","recaptures"
"JP499","fuliginosa",8.51,6.83,6.54,0
"JP4993","fortis small",12.83,10.83,9.66,0
"JP4995","scandens",13.86,8.07,7.97,0
"JP4996","fortis small",12.15,12.11,9.64,0
"JP4997","fortis small",10.22,9.32,8.85,0
"JP4998","scandens",14.59,8.67,8.13,0
"JP4999","scandens",13.79,7.98,8.02,0
"JP500","fuliginosa",8.74,7.06,6.85,0
"JP5005","scandens",15.57,9.44,8.82,0
"JP5006","scandens",14.32,8.42,8.38,0
"JP5012","fortis small",11.765,10.79,9.605,0
"JP5013","magnirostris",15.08,15.79,13.51,0
"JP5014","scandens",12.13,7.77,7.42,0
"JP5015","magnirostris",15.29,16.17,13.67,0
"JP5017","scandens",14.3,9.07,8.75,0
"JP5018","fortis large",13.35,13.07,11.61,0
"JP5019","scandens",14.32,9.24,8.78,0
"JP502","fuliginosa",7.97,7.08,6.71,0
"JP5021","fortis small",11.175,10.3825,9.5925,6
"JP5022","fortis small",12.005,9.7,8.995,0
"JP5027","fortis small",11.18,10.41,9.58,0
"JP5028","fortis small",10.82,9.77,8.99,0
"JP5029","fortis small",12.31,9.23,8.96,0
"JP5030","fortis small",10.95,9.4,9.58,0
"JP5031","fortis large",13.5,12.95,11.46,0
"JP504","fuliginosa",8.35,7.01,6.95,2
"JP5043","fortis small",11.26,10.08,9.14,0
"JP5044","fortis large",13.17,12.69,11.45,0
"JP505","fuliginosa",8.65,7.11,7.43,0
"JP5056","fortis small",11.415,11.355,10.025,3
"JP5057","fortis large",12.72,11.7066666666667,10.2366666666667,5
"JP5058","fortis small",11.67,10.72,9.56,0
"JP5059","scandens",12.64,8.36,8.13,0
"JP506","fuliginosa",8.03,6.61,6.4,0
"JP5060","fortis small",12.19,11.1,9.8,0
"JP5064","fortis small",10.34,10.17,9.41,0
"JP5066","fortis small",11.45,10.44,9.83,0
"JP5071","fortis large",13.17,13.63,11.42,0
"JP5072","fortis small",11.04,10.83,9.56,0
"JP5074","fortis small",11.36,10.77,9.76,0
"JP5075","fortis large",12.53,12.04,10.6,0
"JP5080","scandens",14.28,9.16,8.98,0
"JP5081","fortis small",10.955,10.025,9.21,0
"JP5083","fortis large",12.4566666666667,12.26,11.0433333333333,3
"JP5085","fuliginosa",8.72,7.12,6.9,0
"JP5086","fortis small",11.83,10.68,10.3,0
"JP5087","fortis small",11.315,9.415,9.255,1
"JP5089","fortis small",12.1,10.78,10.06,0
"JP509","fuliginosa",8.89,7.4,7.17,0
"JP510","fuliginosa",8,6.77,6.83,0
"JP5100","fortis small",10.745,9.965,9.57,1
"JP5101","fortis large",12.32,11.58,10.41,0
"JP5102","fortis small",10.975,9.955,9.28,0
"JP5103","fortis small",11.84,10.53,9.43,0
"JP5104","fortis large",13.42,14.02,12.49,0
"JP5105","magnirostris",14.52,16.82,15.02,0
"JP5106","fortis small",12.3575,10.3925,9.6475,3
"JP5107","fortis large",12.89,12.09,10.91,0
"JP5108","scandens",13.49,7.64,7.21,0
"JP5109","scandens",14.13,7.96,7.77,0
"JP511","fuliginosa",8.87,7.26,7.3,0
"JP5110","fortis small",11.335,10.575,10.015,0
"JP5111","fortis small",10.815,10.145,9.32,0
"JP5116","fortis small",11.75,11.605,10.305,0
"JP5117","fortis small",11.305,9.83,9.505,0
"JP5118","fortis large",12.215,11.37,11.285,0
"JP5119","magnirostris",15.3766666666667,16.9333333333333,14.4566666666667,0
"JP512","fuliginosa",8.87,7.5,6.91,0
"JP5121","fortis large",12.74,12.16,11.2875,0
"JP5128","fortis small",11.68,11.02,10.36,0
"JP5129","fortis small",11.22,10.38,9.6,0
"JP513","fuliginosa",8.04,7.01,6.46,0
"JP5130","fortis large",12.63,12.24,11.21,0
"JP5131","fortis large",13.54,12.61,11.92,0
"JP5132","scandens",14.01,8.48,8.62,0
"JP5133","scandens",15.5,8.93,8.32,0
"JP5134","scandens",14.76,9.17,8.92,0
